Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,IsHoliday
39,2013-07-07,22814.55,1,68.27,4.16,227.6,9.24,2013,7,27,Holiday
29,2012-04-22,19462.78,0,94.31,3.58,216.01,8.94,2012,4,16,Regular
15,2011-06-12,19615.67,0,64,2.52,227.45,9.15,2011,6,23,Regular
43,2011-10-02,26567.37,0,85.35,3.85,219.09,5.12,2011,10,39,Regular
8,2011-05-01,16517.69,0,58.52,4.13,225.53,9.86,2011,5,17,Regular
21,2012-10-28,29321,0,60.47,3.05,226.52,8.07,2012,10,43,Regular
39,2012-07-15,16643.46,0,89.43,2.61,216.03,9,2012,7,28,Regular
19,2010-06-06,20445.99,0,37.54,3.54,222.81,7.83,2010,6,22,Regular
23,2012-08-12,18593.98,0,69.54,2.58,222.15,6.7,2012,8,32,Regular
11,2011-02-06,20617.1,0,80.84,3.33,219.52,6.48,2011,2,5,Regular
11,2013-07-28,22222.96,0,82.53,2.54,219.39,5.35,2013,7,30,Regular
24,2013-06-23,22169.18,0,71.4,2.95,216.1,7.71,2013,6,25,Regular
36,2010-11-14,16234.41,0,61.36,3.28,216.2,5.72,2010,11,45,Regular
40,2010-05-30,14385.43,0,48.25,2.72,220.96,7.84,2010,5,21,Regular
24,2013-09-01,32515.86,0,93.66,2.73,210.65,8.12,2013,9,35,Regular
3,2010-02-21,17580.08,0,55.89,4.15,228.67,7.21,2010,2,7,Regular
22,2012-05-06,23496.06,0,85.93,2.58,223,5.78,2012,5,18,Regular
2,2010-05-16,11961.79,0,32.22,3.88,218.87,7.16,2010,5,19,Regular
24,2013-06-02,18601.94,0,46.25,4.13,211.24,9.39,2013,6,22,Regular
44,2011-06-26,19364,0,54.19,2.76,222.6,7.29,2011,6,25,Regular
30,2010-09-26,22364.08,0,77.01,2.89,210.35,6.71,2010,9,38,Regular
38,2010-09-12,6387.73,0,52.35,3.78,223.6,8.15,2010,9,36,Regular
2,2013-05-26,20830.7,0,32.9,3.13,211.45,8.09,2013,5,21,Regular
21,2013-02-03,14251.29,0,42.17,3.45,223.12,5.45,2013,2,5,Regular
